,Title,Review,
0,The overwhelming presence of Gaudi in Barcelona.,A little way out of central Barcelona and having walked to it last time we visiting this time we decided to make things a little easier by getting a taxi! The last time we were here the park was open to all but this time tickets were needed and it was a good job we booked them online first. The gingerbread houses and the mosaic balcony are just bonkers.,
1,"late cancellation and no help in trying to rebook another tour, terrible service",Thank you for your feedback. We will surely convey your kind words to Christian. :-) You are correct when you say that Montserrat is a beautiful site. The view is just gorgeous! The drive is long but it's worth it. :-) We are truly glad that you enjoyed the tour. We thank you again for your feedback and it was a pleasure to welcome you in Barcelona! BarcelonaDayTours,
2,A MUST for first time visitors to Barcelona!,Thank you very much! You are very kind to have taken the time to write about us and we highly appreciate it. We are proud of our rich culture and history and we are happy to share them to our guests even if it's only for a short period of time. :-) We hope you visit us again and it was our pleasure to welcome you in Barcelona! BarcelonaDayTours,
3,Cool to see. Way too crowded,Thank you very much! You are very kind to have taken the time to write about us and we highly appreciate it. We will be sure to convey your kind words to Armando. :-) We are proud of our rich culture and history and we are happy to share them to our guests even if it's only for a short period of time. We hope you visit us again and it was our pleasure to welcome you in Barcelona! BarcelonaDayTours,
4,Marvel or monstrous,"Thank you for your feedback. We sincerely appreciate it! We aim to always be on time, if not earlier, than the intended tour time in order to make the most of everybody's day. We are proud of our rich culture and history and we are happy to share them to our guests even if it's only for a short period of time. :-) We hope you visit us again and it was our pleasure to welcome you in Barcelona! BarcelonaDayTours",
5,"So much to take in, such beauty","Thank you for your feedback! Ruth is one of our best guides and we are glad that you enjoyed her company. Going on our private tours are the best way to explore Barcelona as you get to customize your own itinerary (still within tour time, of course!). What an awesome day 1! :-) We thank you again for your feedback and it was our pleasure to welcome you in Barcelona! BarcelonaDayTours",
6,Breathtaking building but save money on guided tour,Thank you very much! You are very kind to have taken the time to write about us and we highly appreciate it. We will be sure to convey your kind words to our staff. :-) We are proud of our rich culture and history and we are happy to share them to our guests even if it's only for a short period of time. We hope you visit us again and it was our pleasure to welcome you in Barcelona! BarcelonaDayTours,
7,My favorite cathedral visit ever - because of the audio guide,Hola and thank you for your feedback! We are so glad you had a fabulous time on the tour. I agree with you when you said that Montserrat is stunning. It really is. Good thing you were able to ride the funicular (gondola). The view up there is amazing! :-) Thank you again and we are glad that we get to welcome you in Barcelona! BarcelonaDayTours,
8,Gaudi all the way,"Thank you! Marta is one of our best guides! We have not had any complaints from guests about her, ever. She is very knowledgeable, kind, and attentive. We will be sure to convey your kind words to her. :-) Thank you again for your feedback and we hope you visit us again! BarcelonaDayTours",
9,Interesting architecture,"Thank you! We aim to provide direct pickups and drop-offs (if possible) so that our guests can experience hassle-free tours. We can keep your luggage in the vehicle while you are touring or if you go inside sites! It's safe, we promise! :-) Our staff can also tell you of where to go and where to eat. They can offer suggestions on where the best tapas are and the best shops. :-) Thank you again for your feedback and it was our pleasure to welcome you in Barcelona! BarcelonaDayTours",
10,Get a guide with skip the line passes!,"Thank you for your feedback! We always try our best to arrange every aspect of the tour (from the pickup location, to the itinerary, to the drop-off) the best way we can so that our guests would enjoy a hassle-free tour. We are glad you like Marta. She is one of our best guides! We will be sure to convey your kind words to her. :-) Thank you again and it was our pleasure to welcome you in Barcelona! BarcelonaDayTours",
11,Surreal Church,"Thank you for your feedback! We always try our best to arrange every aspect of the tour (from the pickup location, to the itinerary, to the drop-off) the best way we can so that our guests would enjoy a hassle-free tour. We are glad you like Marta. She is one of our best guides! We will be sure to convey your kind words to her. :-) Thank you again and it was our pleasure to welcome you in Barcelona! BarcelonaDayTours",
12,Sagrada Familia was fantastic,"My daughter and i took a much anticipated trip to Barcelona to join on a cruise ship , we had the airport pick up followed by a full day tour with christian , this was amazing , well felt very safe and in good hands he took us all over the city all the while sharing the amazing history of it. You could feel his love of this wonderful city as he described the history . We went to a local cafe for lunch and it was amazing. After the full day of touring and seeing the city , he took us to our hotel , i can not recommend this service enough it was amazing",
13,Sagrada Familia,Thank you for your feedback. We greatly appreciate it. :-) Christian is one of our best guides! He has always been well-liked because he is very attentive to guests and he shares what he knows about Barcelona with passion. We will be sure to convey your kind words to him. :-) We thank you again and it was our pleasure to welcome you in Barcelona! BarcelonaDayTours,
14,Must see,A fascinating deep dive into civil war politics and history brought alive through fascinating individual stories. Taking the time to hear this history (we knew very little) has really enhanced our subsequent time in Spain. You won’t cover a lot of ground in terms of walking distance but you definitely do in terms of information !,
15,"Beautiful, not finished :)","Thank you for your feedback. We sincerely appreciate it! Christian (from Germany) is one of the best guides we have. You can tell with the way he conducts the tours that he loves the city. We also make it a point to assist our guests in getting skip-the-line tickets, if possible, to make their visits hassle-free. We wish you many more wonderful tours to come and it was our pleasure to welcome you in Spain. BarcelonaDayTours",
16,Bad experience,"We arrived in Barcelona at the port, the tour van and our guide Marco were timely and efficient. After rounding up all members taking the tour, Marco explained our itinerary and off we went. The tour was half the day and a great over view of the city and its highlights! Marco was knowledgeable and engaging, he explained the history and details all of the sites as we passed by or when we stopped at the several locations. Walking Guell park and having the details about it was fantastic! At the end of the tour they dropped us off at our hotel with our luggage. I highly recommend taking this tour when you arrive in Barcelona.",
17,Explosion of colours!,"Thank you for your feedback. We sincerely appreciate it! Marco is one of our best guides. We will convey your kind words to him. :-) The half day tour of Barcelona is a great way to see most of the city sites in a short period of time. We always pick up our guests directly, if possible, in order to make their visit as hassle-free as possible. We wish you many more wonderful tours to come and it was our pleasure to welcome you in Spain. BarcelonaDayTours",
18,This is an amazing work of art and functioning cathedral.,"Myself and my wife were in Barcelona from NY (USA) and decided to take a tour to Monserrat. I can not say how amazing our tour was because words would not explain how perfect the tour was. Chris was our guide, he was better than I ever could have wanted.

He explained so much about the history, not to mention his energy, knowledge & love of the city too. He gave us options, took a few pics for us, explained so much for the rest of our stay in Barcelona as well. This tour made our entire trip. Highlight of our stay in Spain.

Here's a list of things to consider:
-Professional and Safe
-Really nice car!
-Knowledge of the ins and out of not only our tour but helped us learn about things to do in Barcelona too

Let's put it this way, we talked more about the tour and guide then we did about some of the places we went too! Thanks Chris! Pasquale & Donna! Ciao!",
19,An experience you will remember!,Thank you very much! You are very kind to have taken the time to write about us and we highly appreciate it. We will be sure to convey your kind words to Chris. :-) We are proud of our rich culture and history and we are happy to share them to our guests even if it's only for a short period of time. We hope you visit us again and it was our pleasure to welcome you in Barcelona! BarcelonaDayTours,
